design,seed,rank_bin,true_proposals,true_promotions
campaign75-geometric-daily,52001035,6-10,5,0
campaign75-geometric-daily,52001035,11-20,6,0
campaign75-geometric-daily,52001035,21-35,0,0
campaign75-geometric-daily,52001035,36-50,0,0
telescoping-fixed,52001036,1-5,5,4
telescoping-fixed,52001036,6-10,5,3
telescoping-fixed,52001036,11-20,6,2
telescoping-fixed,52001036,21-35,0,0
telescoping-fixed,52001036,36-50,0,0
campaign75-fixed-daily,52001036,1-5,5,4
campaign75-fixed-daily,52001036,6-10,5,3
campaign75-fixed-daily,52001036,11-20,6,5
campaign75-fixed-daily,52001036,21-35,0,0
campaign75-fixed-daily,52001036,36-50,0,0
campaign75-geometric-daily,52001036,1-5,5,4
campaign75-geometric-daily,52001036,6-10,5,3
campaign75-geometric-daily,52001036,11-20,6,5
campaign75-geometric-daily,52001036,21-35,0,0
campaign75-geometric-daily,52001036,36-50,0,0
telescoping-fixed,52001037,1-5,5,5
telescoping-fixed,52001037,6-10,5,5
telescoping-fixed,52001037,11-20,6,5
telescoping-fixed,52001037,21-35,0,0
telescoping-fixed,52001037,36-50,0,0
campaign75-fixed-daily,52001037,1-5,5,5
campaign75-fixed-daily,52001037,6-10,5,5
campaign75-fixed-daily,52001037,11-20,6,6
campaign75-fixed-daily,52001037,21-35,0,0
campaign75-fixed-daily,52001037,36-50,0,0
campaign75-geometric-daily,52001037,1-5,5,5
campaign75-geometric-daily,52001037,6-10,5,5
campaign75-geometric-daily,52001037,11-20,6,6
campaign75-geometric-daily,52001037,21-35,0,0
campaign75-geometric-daily,52001037,36-50,0,0
telescoping-fixed,52001038,1-5,5,4
telescoping-fixed,52001038,6-10,5,0
telescoping-fixed,52001038,11-20,5,2
telescoping-fixed,52001038,21-35,1,0
telescoping-fixed,52001038,36-50,0,0
campaign75-fixed-daily,52001038,1-5,5,4
campaign75-fixed-daily,52001038,6-10,5,2
campaign75-fixed-daily,52001038,11-20,5,4
campaign75-fixed-daily,52001038,21-35,1,0
campaign75-fixed-daily,52001038,36-50,0,0
campaign75-geometric-daily,52001038,1-5,5,4
campaign75-geometric-daily,52001038,6-10,5,2
campaign75-geometric-daily,52001038,11-20,5,4
campaign75-geometric-daily,52001038,21-35,1,0
campaign75-geometric-daily,52001038,36-50,0,0
