annual_sharpe,correlation,seed,seed_source,proposal_recall,method,fdp,conditional_power,end_to_end_power,discoveries,delay_days
0.5,0,314292,archived_314159_anchor,0.75,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314293,archived_314159_anchor,0.6875,SAFE-ALPHA,0,0,0,0,
0.5,0,314293,archived_314159_anchor,0.6875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314294,archived_314159_anchor,1,SAFE-ALPHA,0,0.125,0.125,2,1203.5
0.5,0,314294,archived_314159_anchor,1,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314295,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314295,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314296,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0,0,0,
0.5,0,314296,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314297,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0.0666666666667,0.0625,1,631
0.5,0,314297,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314298,archived_314159_anchor,0.75,SAFE-ALPHA,0,0,0,0,
0.5,0,314298,archived_314159_anchor,0.75,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314299,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314299,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314300,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0,0,0,
0.5,0,314300,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314301,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314301,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314302,archived_314159_anchor,0.875,SAFE-ALPHA,0,0,0,0,
0.5,0,314302,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314303,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0,0,0,
0.5,0,314303,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314304,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314304,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314305,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314305,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314306,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314306,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314307,archived_314159_anchor,0.875,SAFE-ALPHA,1,0,0,1,
