q,method,fdp,end_to_end_power,discoveries,delay_days,seed
0.15,Matched terminal weighted e-BH,0,0.875,14,1147.57142857,315928
0.175,SAFE-ALPHA,0,0.875,14,491.714285714,315928
0.175,Matched terminal weighted e-BH,0,0.875,14,1147.57142857,315928
0.2,SAFE-ALPHA,0.0666666666667,0.875,15,478.142857143,315928
0.2,Matched terminal weighted e-BH,0,0.875,14,1147.57142857,315928
0.01,SAFE-ALPHA,0,0.0625,1,881,315929
0.01,Matched terminal weighted e-BH,0,0.0625,1,1139,315929
0.025,SAFE-ALPHA,0,0.375,6,965.166666667,315929
0.025,Matched terminal weighted e-BH,0,0.1875,3,1169,315929
0.05,SAFE-ALPHA,0,0.4375,7,923.857142857,315929
0.05,Matched terminal weighted e-BH,0,0.25,4,1150.25,315929
0.075,SAFE-ALPHA,0,0.5625,9,588.222222222,315929
0.075,Matched terminal weighted e-BH,0,0.3125,5,1151,315929
0.1,SAFE-ALPHA,0,0.5625,9,478.777777778,315929
0.1,Matched terminal weighted e-BH,0,0.3125,5,1151,315929
0.125,SAFE-ALPHA,0,0.75,12,465.583333333,315929
0.125,Matched terminal weighted e-BH,0,0.375,6,1164,315929
0.15,SAFE-ALPHA,0,0.75,12,442.666666667,315929
0.15,Matched terminal weighted e-BH,0,0.5,8,1148.375,315929
0.175,SAFE-ALPHA,0,0.75,12,371.833333333,315929
0.175,Matched terminal weighted e-BH,0,0.5,8,1148.375,315929
0.2,SAFE-ALPHA,0,0.8125,13,342.538461538,315929
0.2,Matched terminal weighted e-BH,0,0.5,8,1148.375,315929
0.01,SAFE-ALPHA,0,0.1875,3,1138.66666667,315930
0.01,Matched terminal weighted e-BH,0,0.125,2,1236.5,315930
0.025,SAFE-ALPHA,0,0.25,4,828.5,315930
0.025,Matched terminal weighted e-BH,0,0.1875,3,1234,315930
0.05,SAFE-ALPHA,0,0.3125,5,806,315930
0.05,Matched terminal weighted e-BH,0,0.1875,3,1234,315930
0.075,SAFE-ALPHA,0,0.3125,5,593,315930
0.075,Matched terminal weighted e-BH,0,0.25,4,1225.25,315930
0.1,SAFE-ALPHA,0,0.3125,5,572,315930
0.1,Matched terminal weighted e-BH,0,0.25,4,1225.25,315930
0.125,SAFE-ALPHA,0,0.375,6,664.333333333,315930
0.125,Matched terminal weighted e-BH,0,0.25,4,1225.25,315930
0.15,SAFE-ALPHA,0,0.5625,9,811.333333333,315930
0.15,Matched terminal weighted e-BH,0,0.3125,5,1217,315930
0.175,SAFE-ALPHA,0,0.5625,9,786,315930
0.175,Matched terminal weighted e-BH,0,0.5625,9,1189,315930
0.2,SAFE-ALPHA,0,0.5625,9,753.222222222,315930
0.2,Matched terminal weighted e-BH,0,0.5625,9,1189,315930
0.01,SAFE-ALPHA,0,0.4375,7,630.285714286,315931
0.01,Matched terminal weighted e-BH,0,0.3125,5,1196,315931
0.025,SAFE-ALPHA,0,0.5625,9,544.333333333,315931
0.025,Matched terminal weighted e-BH,0,0.3125,5,1196,315931
0.05,SAFE-ALPHA,0,0.625,10,483,315931
0.05,Matched terminal weighted e-BH,0,0.4375,7,1166.85714286,315931
0.075,SAFE-ALPHA,0,0.625,10,383.5,315931
0.075,Matched terminal weighted e-BH,0,0.4375,7,1166.85714286,315931
0.1,SAFE-ALPHA,0,0.6875,11,361.454545455,315931
0.1,Matched terminal weighted e-BH,0,0.4375,7,1166.85714286,315931
0.125,SAFE-ALPHA,0,0.6875,11,337.363636364,315931
0.125,Matched terminal weighted e-BH,0,0.5,8,1172.75,315931
0.15,SAFE-ALPHA,0,0.6875,11,287.818181818,315931
0.15,Matched terminal weighted e-BH,0,0.5,8,1172.75,315931
0.175,SAFE-ALPHA,0,0.75,12,321.833333333,315931
0.175,Matched terminal weighted e-BH,0,0.5625,9,1170.66666667,315931
0.2,SAFE-ALPHA,0,0.75,12,307.25,315931
0.2,Matched terminal weighted e-BH,0,0.5625,9,1170.66666667,315931
0.01,SAFE-ALPHA,0,0,0,,315932
0.01,Matched terminal weighted e-BH,0,0,0,,315932
0.025,SAFE-ALPHA,0,0,0,,315932
0.025,Matched terminal weighted e-BH,0,0,0,,315932
0.05,SAFE-ALPHA,0,0,0,,315932
0.05,Matched terminal weighted e-BH,0,0,0,,315932
0.075,SAFE-ALPHA,0,0.25,4,791,315932
0.075,Matched terminal weighted e-BH,0,0,0,,315932
0.1,SAFE-ALPHA,0,0.4375,7,806.714285714,315932
0.1,Matched terminal weighted e-BH,0,0,0,,315932
0.125,SAFE-ALPHA,0,0.4375,7,789.571428571,315932
0.125,Matched terminal weighted e-BH,0,0,0,,315932
0.15,SAFE-ALPHA,0,0.5,8,685.375,315932
0.15,Matched terminal weighted e-BH,0,0,0,,315932
