design,annual_sharpe,correlation,seed,rank_bin,true_proposals,true_promotions
telescoping-fixed,1.5,0.5,315951,1-5,5,1
telescoping-fixed,1.5,0.5,315951,6-10,5,0
telescoping-fixed,1.5,0.5,315951,11-20,6,0
telescoping-fixed,1.5,0.5,315951,21-35,0,0
telescoping-fixed,1.5,0.5,315951,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315951,1-5,5,0
campaign75-fixed-daily,1.5,0.5,315951,6-10,5,0
campaign75-fixed-daily,1.5,0.5,315951,11-20,6,1
campaign75-fixed-daily,1.5,0.5,315951,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315951,36-50,0,0
telescoping-fixed,1.5,0.5,315952,1-5,5,5
telescoping-fixed,1.5,0.5,315952,6-10,5,5
telescoping-fixed,1.5,0.5,315952,11-20,5,3
telescoping-fixed,1.5,0.5,315952,21-35,1,0
telescoping-fixed,1.5,0.5,315952,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315952,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315952,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315952,11-20,5,4
campaign75-fixed-daily,1.5,0.5,315952,21-35,1,1
campaign75-fixed-daily,1.5,0.5,315952,36-50,0,0
telescoping-fixed,1.5,0.5,315953,1-5,5,5
telescoping-fixed,1.5,0.5,315953,6-10,5,5
telescoping-fixed,1.5,0.5,315953,11-20,5,4
telescoping-fixed,1.5,0.5,315953,21-35,1,0
telescoping-fixed,1.5,0.5,315953,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315953,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315953,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315953,11-20,5,5
campaign75-fixed-daily,1.5,0.5,315953,21-35,1,0
campaign75-fixed-daily,1.5,0.5,315953,36-50,0,0
telescoping-fixed,1.5,0.5,315954,1-5,5,5
telescoping-fixed,1.5,0.5,315954,6-10,5,5
telescoping-fixed,1.5,0.5,315954,11-20,6,5
telescoping-fixed,1.5,0.5,315954,21-35,0,0
telescoping-fixed,1.5,0.5,315954,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315954,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315954,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315954,11-20,6,6
campaign75-fixed-daily,1.5,0.5,315954,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315954,36-50,0,0
telescoping-fixed,1.5,0.5,315955,1-5,5,3
telescoping-fixed,1.5,0.5,315955,6-10,5,2
telescoping-fixed,1.5,0.5,315955,11-20,6,0
telescoping-fixed,1.5,0.5,315955,21-35,0,0
telescoping-fixed,1.5,0.5,315955,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315955,1-5,5,0
campaign75-fixed-daily,1.5,0.5,315955,6-10,5,1
